date,geography,metric_type,value,is_official,source_url,notes
2025-12-08,all,weekly_paid_trips,450000,TRUE,https://www.cnbc.com/2025/12/08/waymo-paid-rides-robotaxi-tesla.html,"Waymo crossed 450,000 weekly paid rides."
2025-12-31,all,cumulative_rides_lifetime,20000000,TRUE,https://waymo.com/blog/2025/12/2025-year-in-review/,"Surpassed 20 million lifetime rides by end of 2025, per Waymo's own year-in-review blog post."
2025,all,cumulative_rides_annual,14000000,TRUE,https://waymo.com/blog/2025/12/2025-year-in-review/,"14 million trips served in 2025 alone (more than 3x 2024), per Waymo year-in-review."
2026-03-27,all,weekly_paid_trips,500000,TRUE,https://techcrunch.com/2026/03/27/waymo-skyrocketing-ridership-in-one-chart/,"500,000 weekly paid rides reported; TechCrunch notes 10x growth from 50,000/week (May 2024) in <2 years."
2026-05,all,weekly_paid_trips,500000,TRUE,https://www.thedriverlessdigest.com/p/waymo-hits-500000-weekly-rides-and,"Driverless Digest reconfirms ~500,000 weekly rides and cites >4 million cumulative autonomous miles/week context."
2026-07-08,all,weekly_paid_trips,500000,TRUE,https://spacedaily.com/m-on-july-8-2026-waymo-announced-fully-driverless-taxis-for-four-more-american-cities-its-fleet-now-giving-about-half-a-million-rides-a-week-and-aiming-for-a-million-a-week-before-the-year-is-out/,"'About half a million rides a week' restated alongside the 4-city (LV/SD/Denver/Tampa) expansion announcement, with an explicit 1 million/week target 'before the year is out' (end of 2026)."
2026-07-08,all,weekly_paid_trips_target,1000000,TRUE,https://www.forbes.com/sites/alanohnsman/2025/12/10/waymo-targets-1-million-robotaxi-rides-a-week/,"Co-CEO Tekedra Mawakana's stated goal of 1,000,000 paid rides/week by end of 2026 (goal originally stated ~Dec 2025, restated through mid-2026 coverage). This is a TARGET, not an achieved figure."
2026-07,all,weekly_paid_trips_forecast,775000,FALSE,https://axis-intelligence.com/waymo-statistics/,"Third-party forecast (not Waymo-stated) putting Q4 2026 likely weekly rides around 775,000 (range 775k-840k) given fleet growth pace of ~265-300 vehicles/month, short of the 1M/week company target. Explicitly an estimate/model output, not an official figure."
2026,Phoenix,share_of_trips,0.4019,FALSE,https://www.thedriverlessdigest.com/p/waymos-2025-year-in-review-the-year,"'Phoenix at 40.19% as of 2025 Q4' cited via WebSearch synthesis of Driverless Digest content - precision of this figure could not be independently confirmed against a primary Waymo disclosure; treat as an unverified secondary/derived estimate of Phoenix's declining share of total weekly trips as new cities launch."
2025-07-15,all,cumulative_autonomous_miles,100000000,TRUE,https://www.thedriverlessdigest.com/p/waymos-2025-year-in-review-the-year,100 million fully autonomous (rider-only) miles milestone reached; described as double the 50M figure at end of 2024.
2026-02,all,cumulative_autonomous_miles,200000000,TRUE,https://www.thedriverlessdigest.com/p/waymo-stats-2025-funding-growth-coverage,Over 200 million autonomous miles driven on public roads cited as of Feb 2026.
2026-03,all,cumulative_autonomous_miles,220600000,TRUE,https://axis-intelligence.com/waymo-statistics/,"220.6 million rider-only miles through March 2026, attributed by Axis Intelligence to Waymo's Safety Impact Data Hub."
2026-02-24,all,cumulative_autonomous_miles,127000000,TRUE,https://waymo.com/blog/2026/02/dallas-houston-san-antonio-orlando/,"Waymo blog post cites 'over 200 million fully autonomous miles traveled to date' and separately references safety analysis 'from over 127 million miles' showing a 10x reduction in serious-injury-or-worse crashes vs. human drivers - two different mileage figures used in the same post, kept as reported."
2026-07,all,cumulative_rides_lifetime,20000000,TRUE,https://electrek.co/2026/07/08/waymo-driverless-las-vegas-four-new-cities/,"'Surpassed 20 million total trips to date' restated in the July 2026 four-city expansion coverage - note this is very close to the Dec 2025 20M figure, suggesting either a stale restatement or slow updates between disclosures; flagged as a possible reporting lag, not necessarily a new milestone."
